metric,code,label,iso,country,year,value
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2015,409.13013
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2015,421.3373
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2018,418.5555
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2018,392.88864
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2018,425.81345
pisa_math,I.B1.5.4,PISA mathematics mean,THA,Thailand,2022,393.94534
pisa_read,I.B1.5.5,PISA reading mean,THA,Thailand,2022,378.663
pisa_sci,I.B1.5.6,PISA science mean,THA,Thailand,2022,409.2643
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2003,423.4194
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2003,440.97098
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2006,423.9412
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2006,447.14114
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2006,423.83273
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2009,445.45135
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2009,464.19437
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2009,453.90973
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2012,447.9844
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2012,475.49146
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2012,463.4129
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2015,420.45398
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2015,428.33508
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2015,425.4895
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2018,453.50778
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2018,465.63165
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2018,468.29962
pisa_math,I.B1.5.4,PISA mathematics mean,TUR,Turkey,2022,453.15176
pisa_read,I.B1.5.5,PISA reading mean,TUR,Turkey,2022,456.08405
pisa_sci,I.B1.5.6,PISA science mean,TUR,Turkey,2022,475.9378
pisa_math,I.B1.5.4,PISA mathematics mean,UKR,Ukraine,2018,453.1175
pisa_read,I.B1.5.5,PISA reading mean,UKR,Ukraine,2018,465.95013
pisa_sci,I.B1.5.6,PISA science mean,UKR,Ukraine,2018,468.98773
pisa_math,I.B1.5.4,PISA mathematics mean,UKR,Ukraine,2022,440.8453
pisa_read,I.B1.5.5,PISA reading mean,UKR,Ukraine,2022,427.52695
pisa_sci,I.B1.5.6,PISA science mean,UKR,Ukraine,2022,450.18723
pisa_math,I.B1.5.4,PISA mathematics mean,URY,Uruguay,2003,422.1999
pisa_read,I.B1.5.5,PISA reading mean,URY,Uruguay,2003,434.14975
pisa_math,I.B1.5.4,PISA mathematics mean,URY,Uruguay,2006,426.79904
pisa_read,I.B1.5.5,PISA reading mean,URY,Uruguay,2006,412.51672
pisa_sci,I.B1.5.6,PISA science mean,URY,Uruguay,2006,428.13388
pisa_math,I.B1.5.4,PISA mathematics mean,URY,Uruguay,2009,426.7238
pisa_read,I.B1.5.5,PISA reading mean,URY,Uruguay,2009,425.81335
pisa_sci,I.B1.5.6,PISA science mean,URY,Uruguay,2009,427.21426
